ID,Street,HouseNumber,Box,Floor,City,PostalCode,Region,District,Province,PropertyType,PropertySubType,Price,SaleType,ConstructionYear,BedroomCount,LivingArea,KitchenType,Furnished,Fireplace,Terrace,TerraceArea,Garden,GardenArea,Facades,SwimmingPool,Condition,EPCScore,Latitude,Longitude,PropertyUrl,Property url
11052912,Damkaai,74,,0.0,Kortrijk,8500,FLANDERS,Kortrijk,West Flanders,APARTMENT,APARTMENT,456556,residential_sale,2024.0,3,118.0,,,0,1.0,16.0,1.0,,,,,A,50.8331001,3.2693583,,https://www.immoweb.be/en/classified/apartment/for-sale/kortrijk/8500/11052912
11149643,Koning Ridderdijk,13,401,4.0,Middelkerke,8434,FLANDERS,Oostend,West Flanders,APARTMENT,APARTMENT,570000,residential_sale,1973.0,2,78.0,HYPER_EQUIPPED,1.0,0,1.0,1.0,,,2.0,0.0,GOOD,B,51.1710172,2.7750459,,https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke/8434/11149643
11134279,Henry Dunantlaan,36,,3.0,Evere,1140,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,175000,residential_sale,1995.0,1,42.0,,,0,1.0,,,,,,GOOD,,50.8619678,4.4098179,,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/11134279
11134966,Broekstraat,159,0.5,0.0,Oudenaarde,9700,FLANDERS,Oudenaarde,East Flanders,APARTMENT,APARTMENT,259600,residential_sale,2022.0,2,87.0,,,0,1.0,5.0,,,2.0,,,,50.8551618,3.6085322,,https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/11134966
10967585,Leopoldlaan,70A,,3.0,Knokke-Heist,8300,FLANDERS,Brugge,West Flanders,APARTMENT,APARTMENT,640000,residential_sale,,2,,,,0,,,,,,,AS_NEW,B,51.348749,3.2875148,,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10967585
10787336,Leopoldlaan,70A,,3.0,Knokke-Heist,8300,FLANDERS,Brugge,West Flanders,APARTMENT,APARTMENT,640000,residential_sale,,2,,,,0,,,,,,,AS_NEW,B,51.348749,3.2875148,,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10787336
11037387,,,,1.0,Schaerbeek,1030,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,650000,residential_sale,,2,150.0,HYPER_EQUIPPED,,0,1.0,,,,,0.0,AS_NEW,A,,,,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/11037387
11037373,,,,1.0,Schaerbeek,1030,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,650000,residential_sale,,2,150.0,HYPER_EQUIPPED,,0,1.0,,,,,0.0,AS_NEW,A,,,,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/11037373
11088892,Rue Eug�ne Ysaye,10/12,B,5.0,Li�ge,4000,WALLONIE,Li�ge,Li�ge,APARTMENT,APARTMENT,495000,residential_sale,2023.0,2,103.0,,,0,1.0,51.0,,,3.0,,AS_NEW,A,50.6365365,5.5696813,,https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/11088892
11080030,Rue Eug�ne Ysaye,10/12,B,5.0,Li�ge,4000,WALLONIE,Li�ge,Li�ge,APARTMENT,APARTMENT,495000,residential_sale,2023.0,2,103.0,,,0,1.0,51.0,,,3.0,,AS_NEW,A,50.6365365,5.5696813,,https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/11080030
11091246,,,,1.0,Oostduinkerke,8670,FLANDERS,Veurne,West Flanders,APARTMENT,APARTMENT,249000,residential_sale,1994.0,3,155.0,,,0,,,,,,,,C,,,,https://www.immoweb.be/en/classified/apartment/for-sale/oostduinkerke/8670/11091246
11079920,,,,1.0,Oostduinkerke,8670,FLANDERS,Veurne,West Flanders,APARTMENT,APARTMENT,249000,residential_sale,1994.0,3,155.0,,,0,,,,,,,,C,,,,https://www.immoweb.be/en/classified/apartment/for-sale/oostduinkerke/8670/11079920
11046538,Rue Emile Vandervelde,53,,0.0,Fl�ron Roms�e,4624,WALLONIE,Li�ge,Li�ge,APARTMENT,APARTMENT,249500,residential_sale,,2,126.0,INSTALLED,0.0,0,1.0,,,,3.0,0.0,JUST_RENOVATED,B,50.6116897,5.6691156,,https://www.immoweb.be/en/classified/apartment/for-sale/fleron-romsee/4624/11046538
11046537,Rue Emile Vandervelde,53,,0.0,Fl�ron Roms�e,4624,WALLONIE,Li�ge,Li�ge,APARTMENT,APARTMENT,249500,residential_sale,,2,126.0,INSTALLED,0.0,0,1.0,,,,3.0,0.0,JUST_RENOVATED,B,50.6116897,5.6691156,,https://www.immoweb.be/en/classified/apartment/for-sale/fleron-romsee/4624/11046537
11046536,Rue Emile Vandervelde,53,,0.0,Fl�ron Roms�e,4624,WALLONIE,Li�ge,Li�ge,APARTMENT,APARTMENT,249500,residential_sale,,2,126.0,INSTALLED,0.0,0,1.0,,,,3.0,0.0,JUST_RENOVATED,B,50.6116897,5.6691156,,https://www.immoweb.be/en/classified/apartment/for-sale/fleron-romsee/4624/11046536
11143046,Burg,53,3,2.0,Torhout,8820,FLANDERS,Brugge,West Flanders,APARTMENT,APARTMENT,225000,residential_sale,,2,,,,0,,,,,1.0,0.0,AS_NEW,B,51.0676517,3.1019346,,https://www.immoweb.be/en/classified/apartment/for-sale/torhout/8820/11143046
11115121,Boulevard Mettewie,85,,0.0,Molenbeek-Saint-Jean,1080,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,375000,residential_sale,1968.0,3,154.0,,0.0,0,1.0,36.0,,,3.0,,GOOD,E,50.8533908,4.3011827,,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/11115121
11115115,Boulevard Mettewie,85,,0.0,Molenbeek-Saint-Jean,1080,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,375000,residential_sale,1968.0,3,154.0,,0.0,0,1.0,36.0,,,3.0,,GOOD,E,50.8533908,4.3011827,,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/11115115
10896396,,,,1.0,Nieuwpoort,8620,FLANDERS,Veurne,West Flanders,APARTMENT,APARTMENT,399000,residential_sale,2016.0,1,63.0,HYPER_EQUIPPED,,0,1.0,7.0,,,,,,A,,,,https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/10896396
10847523,,,,1.0,Nieuwpoort,8620,FLANDERS,Veurne,West Flanders,APARTMENT,APARTMENT,399000,residential_sale,2016.0,1,63.0,HYPER_EQUIPPED,,0,1.0,7.0,,,,,,A,,,,https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/10847523
